,teks,label,clean_teks
17,"Data yang kamu dapatkan berdasarkan hasil pencarian di internet pastinya menyesuaikan dengan algoritmanya. Algoritma mesin pencarian dan setiap media sosial tentunya berbeda yang mampu memengaruhi keputusan pengguna internet untuk mencari, melakukan review, sampai keputusan pembelian.",3,data dapat dasar hasil cari internet pasti sesuai algoritmanya algoritma mesin cari media sosial beda pengaruh putus guna internet cari review putus beli
18,data analyst harus paham bagaimana machine learning bekerja dengan AI atau kecerdasan buatan yang bukan dikendalikan oleh akal manusia.,3,data analyst paham machine learning ai cerdas buat kendali akal manusia
19,"Karena sekumpulan data yang dikumpulkan oleh data analyst adalah berupa angka, untuk menginterpretasikannya, data analyst butuh kemampuan statistika agar informasi dapat dipahami dan relevan sesuai dengan masalah perusahaan atau klien.",3,kumpul data kumpul data analyst angka interpretasi data analyst butuh mampu statistika informasi paham relevan sesuai usaha klien
20,"Tanggung jawab kamu sebagai data analyst adalah memantau dan memastikan data tersimpan dengan aman. Untuk melakukan hal tersebut, kemampuan data warehousing ini harus kamu punya.",3,tanggung data analyst pantau data simpan aman mampu data warehousing
21,"Yup, berdasarkan data Indeed, rata-rata gaji data analyst di Indonesia untuk tahun pertama berada di kisaran Rp5.335.000,00 untuk di wilayah Jabodetabek.",3,yup dasar data indeed ratarata gaji data analyst indonesia kisar rp wilayah jabodetabek
22,"penggunaan metode SupportVector Machine (SVM) menghasilkan tingkat akurasi yang relatif lebih tinggidibandingkan dengan metode lain, namun sangat dipengaruhi oleh jumlah dataset, data training, data testing serta jumlah data positif dan negatifnya.",3,guna metode supportvector machine svm hasil tingkat akurasi relatif tinggidibandingkan metode pengaruh dataset data training data testing data positif negatif
23,"Penggunaan metode KNN juga dapat mengklasifikasikan dokumen secara baik, meskipun pada penelitian ini tingkat akurasi yang dihasilkan dengan metode yang digunakan, belum bisa sebanding metode lain pada penelitian sebelumnya",3,guna metode knn klasifikasi dokumen teliti tingkat akurasi hasil metode banding metode teliti
24,Kemudian Penggunaan metode KNN dalam paper menghasilkan tingkat akurasi yang jauh lebih baik dibandingkan metode Naive Bayes.,3,guna metode knn paper hasil tingkat akurasi banding metode naive bayes
25," Penambahan emotikon ini mengakibatkan meningkatnya tingkat noisy data, namun metode KNN terbukti lebih tangguh terhadap noisy data. Begitu pula pada paper metode Support Vector Machine juga memiliki tingkat ketelitian yang lebih baik dibandingkan dengan metode Naïve Bayes.",3,tambah emotikon akibat tingkat tingkat noisy data metode knn bukti tangguh noisy data paper metode support vector machine milik tingkat teliti banding metode na ve bayes
26,"Neighbor yang mana metode ini terbukti lebih tangguh terhadap data yang memiliki tingkat noisy yang relatif tinggi dibandingkan metode lain. Kemudian dengan mengacu pada paper untuk proses evaluasi/ testing untuk menguji tingkat akurasi metode tersebut akan digunakan metode Recall, Precision dan F-Measure.",3,neighbor metode bukti tangguh data milik tingkat noisy relatif banding metode acu paper proses evaluasi testing uji tingkat akurasi metode metode recall precision fmeasure
27,"Penggunaan metode Support Vector Machine sangat bergantung pada jumlah dataset, data training serta testing danjuga komposisijumlah data positif dan negatif",3,guna metode support vector machine gantung dataset data training testing danjuga komposisijumlah data positif negatif
28,"Sentiment Analysis merupakan salah satu bagian dari bidang ilmu  opinion mining, yang memiliki pemahaman proses memahami, mengekstrak serta mengolah data dalam bentuk tekstual dengan tujuan memperoleh informasi",3,sentiment analysis salah bidang ilmu opinion mining milik paham proses paham ekstrak olah data bentuk tekstual tuju oleh informasi
29,Biasanya sentiment analysis dilakukan untuk mengetahui kecenderungan pasar,3,sentiment analysis cenderung pasar
30,"Hal ini dikarenakan sentiment analysis itu sendiri bertujuan untuk menganalisis apa yang diungkapkan konsumen terhadap produk, jasa, atau organisasi yang mereka miliki, sehingga perusahaan dapat mengetahui bagaimana tanggapan konsumen terhadap apa yang telah mereka berikan.",3,sentiment analysis tuju analis konsumen produk jasa organisasi milik usaha tanggap konsumen
31,"Sentiment analysis dilakukan dengan berfokus pada pengolahan opini yang mengandung polaritas, yaitu yang membagi sentiment menjadi beberapa kelompok ",3,sentiment analysis fokus olah opini kandung polaritas bagi sentiment kelompok
32,"Pada coarse-grained sentiment analysis, proses klasifikasi dilakukan berdasarkan orientasi sebuah dokumen secara keseluruhan. ",3,coarsegrained sentiment analysis proses klasifikasi dasar orientasi dokumen
33,"Orientasi ini dibagi menjadi 3 jenis: negatif, netral dan positif. Namun ada juga yang menjadikan orientasi ini menjadi kontinu atau dapat juga dikatakan bahwa orientasinya bersifat tidak diskrit.",3,orientasi bagi jenis negatif netral positif jadi orientasi kontinu orientasi sifat diskrit
34,"Banyak dari kalangan peneliti sekarang ini berfokus pada kategori jenis ini. Berbeda dengan metode coarse-grained sentiment analysis, metode ini menggunakan objek yang berupa sebuah kalimat, bukan sebuah dokumen secara keseluruhan.",3,kalang teliti fokus kategori jenis beda metode coarsegrained sentiment analysis metode objek kalimat dokumen
35,Prepocessing merupakan proses untuk mempersiapkan dan membersikan data dari dataset utuk selanjutnya diklasifikasikan ,3,prepocessing proses membersikan data dataset utuk klasifikasi
36,"Proses ini terdiri dari subproses Cleansing, Case Folding [8], Tokenizing, Filtering/ Stopword Removal serta Stemming [5].",3,proses subproses cleansing case folding tokenizing filtering stopword removal stemming
37,"Proses cleansing ini dilakukan untuk membersihkan dokumen dari kata yang tidak diperlukan untuk mengurangi noise. Kata yang dihilangkan adalah  karakter HTML, kata kunci, emoticon, hashtag (#), username (@username), url (http://situs.com), dan email (nama@situs.com) [8].",3,proses cleansing bersih dokumen kurang noise hilang karakter html kunci emoticon hashtag username username url httpsituscom email namasituscom
38,Case Folding merupakan proses penyeragaman bentuk huruf serta penghapusan angka dan tanda baca. Dalam kasus ini yang akan dipakai hanyalah huruf latin dari a hingga z [8].,3,case folding proses seragam bentuk huruf hapus angka tanda baca pakai huruf latin a z
39,"Pada proses tokenizing dokumen yang masih berupa kalimat dipecah per kata menjadi beberapa bagian dan secara bersamaan hilangkan semua karakter maupun tanda baca yang ada pada kalimat tersebut, hasil dari proses inilah yang disebut token [5].",3,proses tokenizing dokumen kalimat pecah sama hilang karakter tanda baca kalimat hasil proses token
40,"Stopword Removal merupakan proses menghilangkan kata yang tidak mendeskripsikan sesuatu dalam bahasa Indonesia seperti “di”, ”ke”, “dari”, “yang”, “sedang”, “ini”, dan lain sebagainya.",3,stopword removal proses hilang deskripsi bahasa indonesia
41,"Di dalam text classification, kata seperti “tidak”, “bukan”, “tanpa” biasanya tidak termasuk kedalam kata yang 
akan dihilangkan. Dalam penerapannya kalimat yang mengandung teks tersebut perlu diubah atau disesuaikan pada proses preprocessing [7].
",3,text classification dalam hilang terap kalimat kandung teks ubah sesuai proses preprocessing
42,"Proses Stemming merupakan proses penghilangan imbuhan yang masih melekat sehingga diperoleh sebuah kata dasar, contohnya: “membaca”, “dibaca”, “dibacakan” akan dikonversi menjadi kata dasar (stem) “baca”. Pada penelitian ini proses Stemming memiliki 5 aturan [7]",3,proses stemming proses hilang imbuh lekat oleh dasar contoh baca baca baca konversi dasar stem baca teliti proses stemming milik atur
43,Proses pembobotan ini dilakukan untuk mendapatkan nilai dari kata (term) yang sudah berhasil diekstrak. Umumnya metode yang digunakan untuk melakukan tahap pembobotan ini adalah pembobotan TF-IDF.,3,proses bobot nilai term hasil ekstrak metode tahap bobot bobot tfidf
44,"Metode TF-IDF ini merupakan metode pembobotan dalam bentuk sebuah metode pembobotan yang menghbungkan antara Term Frequency (TF) dengan Inverse Document Frequency (IDF),  yang mana dapat dirumuskan sebagai berikut ",3,metode tfidf metode bobot bentuk metode bobot menghbungkan term frequency tf inverse document frequency idf rumus
45,"dimana tf (t , d) adalah kemunculan kata t pada dokumen d, N adalah jumlah dokumen yang ada pada kumpulan dokumen, dan df merupakan jumlah dokumen yang mengandung term t.",3,mana tf t d muncul t dokumen d n dokumen kumpul dokumen df dokumen kandung term t
46,Metode ini berfungsi untuk mencari representasi nilai dari masing- masing dokumen dari sekumpulan data training (training set) dimana nantinya akan dibentuk suatu vektor antara dokumen dengan kata (document with term) yang kemudian untuk kesamaan antar dokumen dengan cluster akan ditentukan oleh sebuah prototype vector yang juga disebut juga dengan cluster centroid [3].,3,metode fungsi cari representasi nilai dokumen kumpul data training training set mana bentuk vektor dokumen document with term sama dokumen cluster tentu prototype vector cluster centroid
47,Algoritma K-Nearest Neighbor  (KNN) merupakan salah satu metode  yang digunakan dalam proses klasifikasi terhadap sebuah objek berdasarkan data pembelajaran yang memiliki jarak terdekat dengan objek tersebut ,3,algoritma knearest neighbor knn salah metode proses klasifikasi objek dasar data ajar milik jarak dekat objek
48,"Algoritma ini menerapkan konsep “learning by analogy”, dimana data learning dideskripsikan dengan atribut numerik n-dimensi. Setiap data learning merepresentasikan sebuah titik, yang ditandai dengan c,  dalam ruang n-dimensi ",3,algoritma terap konsep learning by analogy mana data learning deskripsi atribut numerik ndimensi data learning representasi titik tanda c ruang ndimensi
49,"Jika memasukan sebuah data query yang tidak diketahui labelnya, maka K-Nearest Neighbor (KNN) akan mencari k buah data learning yang memiliki jarak terdekat dengan query dalam ruang n-dimensi",3,pasu data query label knearest neighbor knn cari k buah data learning milik jarak dekat query ruang ndimensi
50,Pengukuran jarak antara data learning dengan query dilakukan dengan mengukur jarak antar titik yang merepresentasikan data query dengan semua titik yang merepresentasikan data learning dengan rumus Euclidean Distance ,3,ukur jarak data learning query ukur jarak titik representasi data query titik representasi data learning rumus euclidean distance
51,"Pada fase training, algoritma ini hanya melakukan peyimpanan vektor-vektor fitur dan klasifikasi data training sample. Saat fase klasifikasi, semua fitur yang sama dihitung untuk kemudian dilakukan testing data (belum diketahui klasifikasinya) ",3,fase training algoritma peyimpanan vektorvektor fitur klasifikasi data training sample fase klasifikasi fitur hitung testing data klasifikasi
52,"Jarak dari vektor baru yang terbentuk kemudian dihitung terhadap seluruh vektor training sample, dan sejumlah k buah yang terdekat diambil. Titik yang baru ini, klasifikasinya diprediksikan termasuk pada klasifikasi terbanyak dari titik-titik tersebut ",3,jarak vektor bentuk hitung vektor training sample k buah dekat ambil titik klasifikasi prediksi klasifikasi titiktitik
53,"Nilai k yang terbaik untuk algoritma ini tergantung pada data secara umumnya, nilai k yang tinggi akan mengurangi efek noise pada klasifikasi, namun membuat batasan antar setiap klasifikasi akan menjadi lebih kabur. Nilai k  yang bagus dapat dipilih dengan optimasi parameter, misalnya dengan menggunakan cross-validation",3,nilai k baik algoritma gantung data nilai k kurang efek noise klasifikasi batas klasifikasi kabur nilai k bagus pilih optimasi parameter crossvalidation
54,"Nilai k  yang bagus dapat dipilih dengan optimasi parameter, misalnya dengan menggunakan cross-validation. Kasus khusus dimana klasifikasi diprediksikan berdasarkan data pembelajaran yang paling dekat (dengan kata lain, k = 1) disebut algoritma nearest neighbor ",3,nilai k bagus pilih optimasi parameter crossvalidation khusus mana klasifikasi prediksi dasar data ajar k algoritma nearest neighbor
55,"Ketepatan algoritma KNN ini sangat dipengaruuhi oleh eksistensi fitur-fitur yang tidak relevan, atau jika bobot fitur tersebut tidak setara dengan relevansinya terhadap klasifikasi.",3,tepat algoritma knn dipengaruuhi eksistensi fiturfitur relevan bobot fitur tara relevansi klasifikasi
56,"Penelitian terhadap algoritma ini sebagian besar membahas bagaimana memilih dan memberi bobot terhadap fitur, agar performa klasifiaksi menjadi lebih baik ",3,teliti algoritma bahas pilih bobot fitur performa klasifiaksi
57,K buah data learning akan melakukan voting untuk menentukan label mayoritas. Label data query akan ditentukan berdasarkan label mayoritas dan jika ada lebih dari satu label mayoritas makalabel data query dapat dipilih secara acak di antara label-label mayoritas yang ada ,3,k buah data learning voting tentu label mayoritas label data query tentu dasar label mayoritas label mayoritas makalabel data query pilih acak labellabel mayoritas
58,"Evaluasi dari kemiripan sebuah dokumen dapat dilakukan berdasarkan recall, precision, dan F-measure",3,evaluasi mirip dokumen dasar recall precision fmeasure
59,"Precision, adalah kemampuan untuk mengambil topranked dokumen terambil yang relevan,",3,precision mampu ambil topranked dokumen ambil relevan
60,"Recall, adalah sebagian dari dokumen relevan yang terambil.",3,recall dokumen relevan ambil
61,Sedangkan F-measure merupakan hasil representasi keseluruhan sistem dan dimatematikakan dengan menggabungkan hasil dari recall dengan precision.,3,fmeasure hasil representasi sistem matematika gabung hasil recall precision
62,R merupkan bahasa pemrograman komputasi statisik dan grafik. Bahasa pemrograman ini merupakan implementasi dari bahasa pemrograman S yang dikembangkan oleh John Chambers di Bell Laboratories (AT&T) yang sekarang lebih dikenal sebagai Lucent Technologies.,3,r merupkan bahasa pemrograman komputasi statisik grafik bahasa pemrograman implementasi bahasa pemrograman s kembang john chambers bell laboratories att kenal lucent technologies
63,"Naive  Bayes  merupakan  salah  satu  metode  yang  banyak digunakan  berdasarkan  beberapa  sifatnya  yang  sederhana, metode ini mengklasifikasikan data berdasarkan probabilitas P atribut  x  dari  setiap  kelas  y  data",3,naive bayes salah metode dasar sifat sederhana metode klasifikasi data dasar probabilitas p atribut x kelas y data
64,"Naïve bayes (NB) untuk dijadikan sebagai solusi dari permasalahan yang ada. Naïve Bayes digunakan sebagai model dan menghasilkan tingkat akurasi sebesar 78,59%. Evaluasi dilakukan dengan membandingkan tingkat akurasi yang dihasilkan dengan model lain yaitu Support Vector Machine (SVM).",3,na ve bayes nb jadi solusi masalah na ve bayes model hasil tingkat akurasi evaluasi banding tingkat akurasi hasil model support vector machine svm
65,". Fitur utama dataset ini berupa String yang sangat cocok untuk membuat analisis mengenai kualitas dan layanan hotel menggunakan sentiment analysis. Dengan  melakukan analisis pada  dataset  Tripadvisors Hotel  Review  menggunakan metode sentiment analysis, diharapkan dapat menyimpulkan data positif atau negatif yang dominan pada suatu produk / jasa yang terdapat didalam dataset Tripadvisors Hotel Review ini. Tujuannya agar dapat mengetahui kelebihan dan kelemahan pada suatu produk / jasa agar dapat meningkatkan kualitas pelayanan nya.",3,fitur utama dataset string cocok analisis kualitas layan hotel sentiment analysis analisis dataset tripadvisors hotel review metode sentiment analysis harap simpul data positif negatif dominan produk jasa dalam dataset tripadvisors hotel review tuju lebih lemah produk jasa tingkat kualitas layan nya
66,"Natural  Language  Processing  dibutuhkan  untuk  proses  sentiment  analysis. Menurut Jalaj Thanaki, Natural Language Processing merupakan kemampuan teknologi, komputasi atau linguistik komputasi untuk memproses bahasa alami manusia ",3,natural language processing butuh proses sentiment analysis jalaj thanaki natural language processing mampu teknologi komputasi linguistik komputasi proses bahasa alami manusia
67,"Dalam   melakukan   analisis   review   dengan   sentiment   analysis   dibutuhkan   proses   tokenization.   Tokenization membutuhkan Natural Language Processing. “Tokenization adalah sebuah kata yang dapat dipahami dan diproses oleh mesin, string teks apa pun tidak dapat diproses lebih lanjut tanpa melalui tokenisasi” [7]. Menuru t teori Sumit Raj, Tokenization merupakan salah satu konsep dari Natural Languange Procesing (NLP) yang sederhana di mana tokenization membagi teks menjadi segmen yang bermakna [8]. Dari teori tersebut dapat disimpulkan bahwa tokenization merupakan proses memecah potongan teks menjadi potongan-potongan kecil berupa list.",3,analisis review sentiment analysis butuh proses tokenization tokenization butuh natural language processing tokenization paham proses mesin string teks proses tokenisasi menuru t teori sumit raj tokenization salah konsep natural languange procesing nlp sederhana tokenization bagi teks segmen makna teori simpul tokenization proses pecah potong teks potonganpotongan list
68,"Stopword merupakan kata-kata yang mungkin penting dalam komunikasi, tetapi saat melakukan sentiment analysis, stopword nilainya sangat kecil untuk mesin. “Stop Word Removal bertujuan untuk menghapus beberapa kata yang lebih sering digunakan dalam natural language processing tetapi nilai pentingnya dalam mengekstraksi makna sangat besar tetapi hanya sedikit dalam hal ketika kita mempertimbangkan arti keseluruhan dari kalimat.  Kata-kata seperti itu dinyatakan sebagai kata-kata berhenti dan dihapus” [9]. Oleh karena itu, kita perlu menghapus Stopword yang terdapat pada dataset tersebut",3,stopword katakata komunikasi sentiment analysis stopword nilai mesin stop word removal tuju hapus natural language processing nilai ekstraksi makna timbang arti kalimat katakata nyata katakata henti hapus hapus stopword dataset
69,"Normalisasi merupakan metode untuk memproses string ke dalam natural language. Menurut Deepti Chopra, Nisheeth Joshi, Iti Mathur, untuk melakukan pemrosesan pada natural language, kita perlu melakukan normalisasi yang terutama melibatkan menghilangkan tanda baca, mengubah seluruh teks menjadi huruf kecil atau huruf besar, mengubah angka menjadi kata-kata, memperluas singkatan, kanonikalisasi teks dan sebagainya [10]. Terdapat beberapa karakter unicode dapat diwakili oleh lebih dari satu pengkodean unicode. Mereka akan terlihat sama, tetapi tidak akan membandingkan sama karena mereka memiliki urutan byte internal yang berbeda [11]. Dapat disimpulkan bahwa normalisasi dibutuhkan untuk melakukan sentiment analysis.",3,normalisasi metode proses string natural language deepti chopra nisheeth joshi iti mathur pemrosesan natural language normalisasi libat hilang tanda baca ubah teks huruf huruf ubah angka katakata luas singkat kanonikalisasi teks karakter unicode wakil kode unicode banding milik urut byte internal beda simpul normalisasi butuh sentiment analysis
70,"Naive Bayes merupakan salah satu metode yang banyak digunakan berdasarkan beberapa sifatnya yang sederhana, metode ini mengklasifikasikan data berdasarkan probabilitas P atribut x dari setiap kelas y data [8]. Naive Bayes adalah metode yang digunakan dalam statistika untuk menghitung peluang dari suatu hipótesis, naive  bayes menghitung peluang suatu kelas berdasarkan pada atribut yang dimiliki dan menentukan kelas yang memiliki propabilitas paling tinggi. Naive Bayes mengklasifikasikan kelas berdasarkan pada probabilitas sederhana dengan mengasumsikan bahwa setiap atribut  dalam  data  tersebut  bersifat  saling  terpisah.",3,naive bayes salah metode dasar sifat sederhana metode klasifikasi data dasar probabilitas p atribut x kelas y data naive bayes metode statistika hitung peluang hip tesis naive bayes hitung peluang kelas dasar atribut milik tentu kelas milik propabilitas naive bayes klasifikasi kelas dasar probabilitas sederhana asumsi atribut data sifat pisah
71,"Transform  cases:  Merupakan  proses  untuk  merubah bentuk kata-kata, pada proses ini karakter dijadikan menjadi huruf kecil atau lower case semua.",3,transform cases proses rubah bentuk katakata proses karakter jadi huruf lower case
72,Tokenized: merupakan proses untuk memisah-misahkan kata. Hasil dari pemisahan tersebut dinamakan token.,3,tokenized proses memisahmisahkan hasil pisah nama token
73,"filter stopword: Proses menghilangkan kata-kata yang sering muncul namun tidak memiliki pengaruh apapun dalam ekstraksi klasifikasi teks. Pada proses ini kata yang termasuk adalah seperti penunjuk waktu, kata tanya dan kata sambung.",3,filter stopword proses hilang katakata muncul milik pengaruh apa ekstraksi klasifikasi teks proses tunjuk sambung
74,Stem:   Merupakan   proses   pengubahan   bentuk   kata menjadi kata dasar. Metode ini merupakan proses pengubahan bentuk kata menjadi kata dasar yang menyesuaikan dengan strukturb yang digunakan dalam proses stemming.,3,stem proses ubah bentuk dasar metode proses ubah bentuk dasar sesuai strukturb proses stemming
75,"Pada penelitian ini model yang disusulkan adalah Naïve Bayes sebagai algoritme pembelajaran. Untuk mendapatkan tingkat akurasi yang sesuai, proses validasi dilakukan dengan menggunakan K-Fold Cross Validation dengan harapan hasil validasi ekperiment dapat menghasilkan hasil yang terbaik. Model yang diusulkan kemudian di evaluasi dengan cara membandingkan hasil tingkat akurasi yang didapatkan dengan model yang lain yaitu Support Vector Machine (SVM).",3,teliti model susul na ve bayes algoritme ajar tingkat akurasi sesuai proses validasi kfold cross validation harap hasil validasi ekperiment hasil hasil baik model usul evaluasi banding hasil tingkat akurasi dapat model support vector machine svm
76,"Cross-Industry Standard Process for Data Mining (CRISP-DM) yang dikembangkan pada tahun 1996 oleh analis dari beberapa industri seperti Daimler Chrysler, NCR, dan SPPSS, menyediakan proses standar dari data mining sebagai strategi pemecahan masalah secara umum dari bisnis maupun unit penelitian.",3,crossindustry standard process for data mining crispdm kembang analis industri daimler chrysler ncr sppss sedia proses standar data mining strategi pecah bisnis unit teliti
77,"Dalam CRISP-DM, sebuah proses data mining memiliki siklus hidup yang terdiri dari enam fase. Keseluruhan fase berurutan yang ada tersebut bersifat adaptif. Seperti terlihat pada gambar diatas, fase berikutnya dalam urutan bergantung pada keluaran dari fase sebelumnya. ",3,crispdm proses data mining milik siklus hidup enam fase fase rurut sifat adaptif gambar atas fase urut gantung keluar fase
78,"Data yaitu Kumpulan Fakta yang terekam atau sebuah entitas yang tidak memiliki arti dan selama ini terabaikan.Mining yaitu proses Penambangan sehingga, Data Mining itu dapat diartikan sebagai proses penambangan data yang menghasilkan sebuah ouput (keluaran) berupa pengetahuan",3,data kumpul fakta rekam entitas milik arti terabaikanmining proses tambang data mining arti proses tambang data hasil ouput keluar tahu
79,Data mining adalah sebuah proses pencarian secara otomatis informasi yang berguna dalam tempat penyimpanan data berukuran besar. Teknik data mining digunakan untuk memeriksa basis data berukuran besar sebagai cara untuk menemukan pola yang baru dan berguna. Namun tidak semua pekerjaan pencarian informasi dapat dinyatakan sebagai data mining.,3,data mining proses cari otomatis informasi guna simpan data ukur teknik data mining periksa basis data ukur temu pola guna kerja cari informasi nyata data mining
80,"Istilah lain yang sering dikaitkan dengan data mining diantaranya knowledge discovery (mining) in databases, knowledge extraction, data/pattern analysis, data archeology, data dredging, information harvesting, dan business intelligence. Data mining adalah bagian integral dari Knowledge Discovery in Databases (KDD). ",3,istilah kait data mining knowledge discovery mining in databases knowledge extraction datapattern analysis data archeology data dredging information harvesting business intelligence data mining integral knowledge discovery in databases kdd
81,"Data mining merupakan proses pencarian pengetahuan yang menarik dari data berukuran besar yang disimpan dalam basis data, data warehouse atau tempat penyimpanan informasi lainnya. ",3,data mining proses cari tahu tarik data ukur simpan basis data data warehouse simpan informasi
82,"Basis  data,  data  warehouse  atau  tempat  penyimpanan  informasi  lainnya.Komponen  ini  bertanggung  jawab  dalam  pengambilan  data  yang  relevan berdasarkan permintaan pengguna",3,basis data data warehouse simpan informasi lainnyakomponen tanggung ambil data relevan dasar minta guna
83,"Basis pengetahuan. Komponen ini merupakan domain knowledge yang digunakan untuk memandu pencarian atau mengevaluasi pola-pola yang dihasilkan. Pengetahuan tersebut meliputi hierarki konsep yang digunakan untuk mengorganisasikan atribut atau nilai atribut ke dalam level abstraksi yang berbeda. Pengetahuan tersebut juga dapat berupa kepercayaan pengguna (user belief), yang dapat digunakan untuk menentukan kemenarikan pola yang diperoleh. Contoh lain dari domain knowledge adalah threshold dan metadata yang menjelaskan data dari berbagai sumber yang heterogen",3,basis tahu komponen domain knowledge pandu cari evaluasi polapola hasil tahu liput hierarki konsep organisasi atribut nilai atribut level abstraksi beda tahu percaya guna user belief tentu tari pola oleh contoh domain knowledge threshold metadata data sumber heterogen
84,"Data mining engine. Bagian ini merupakan komponen penting dalam arsitektur sistem data mining. Komponen ini terdiri modul-modul fungsional data mining seperti karakterisasi, asosiasi, klasifikasi, dan analisis klaster",3,data mining engine komponen arsitektur sistem data mining komponen modulmodul fungsional data mining karakterisasi asosiasi klasifikasi analisis klaster
85,Modul evaluasi pola. Komponen ini menggunakan ukuran-ukuran kemenarikan dan berinteraksi dengan modul data mining dalam pencarian pola-pola menarik. Modul evaluasi pola dapat menggunakan threshold kemenarikan untuk mem- filter pola-pola yang diperoleh.,3,modul evaluasi pola komponen ukuranukuran tari interaksi modul data mining cari polapola tarik modul evaluasi pola threshold tari mem filter polapola oleh
