teks,label
"Yup, berdasarkan data Indeed, rata-rata gaji data analyst di Indonesia untuk tahun pertama berada di kisaran Rp5.335.000,00 untuk di wilayah Jabodetabek.",3
"penggunaan metode SupportVector Machine (SVM) menghasilkan tingkat akurasi yang relatif lebih tinggidibandingkan dengan metode lain, namun sangat dipengaruhi oleh jumlah dataset, data training, data testing serta jumlah data positif dan negatifnya.",3
"Penggunaan metode KNN juga dapat mengklasifikasikan dokumen secara baik, meskipun pada penelitian ini tingkat akurasi yang dihasilkan dengan metode yang digunakan, belum bisa sebanding metode lain pada penelitian sebelumnya",3
Kemudian Penggunaan metode KNN dalam paper menghasilkan tingkat akurasi yang jauh lebih baik dibandingkan metode Naive Bayes.,3
" Penambahan emotikon ini mengakibatkan meningkatnya tingkat noisy data, namun metode KNN terbukti lebih tangguh terhadap noisy data. Begitu pula pada paper metode Support Vector Machine juga memiliki tingkat ketelitian yang lebih baik dibandingkan dengan metode Naïve Bayes.",3
"Neighbor yang mana metode ini terbukti lebih tangguh terhadap data yang memiliki tingkat noisy yang relatif tinggi dibandingkan metode lain. Kemudian dengan mengacu pada paper untuk proses evaluasi/ testing untuk menguji tingkat akurasi metode tersebut akan digunakan metode Recall, Precision dan F-Measure.",3
"Penggunaan metode Support Vector Machine sangat bergantung pada jumlah dataset, data training serta testing danjuga komposisijumlah data positif dan negatif",3
"Sentiment Analysis merupakan salah satu bagian dari bidang ilmu  opinion mining, yang memiliki pemahaman proses memahami, mengekstrak serta mengolah data dalam bentuk tekstual dengan tujuan memperoleh informasi",3
Biasanya sentiment analysis dilakukan untuk mengetahui kecenderungan pasar,3
"Hal ini dikarenakan sentiment analysis itu sendiri bertujuan untuk menganalisis apa yang diungkapkan konsumen terhadap produk, jasa, atau organisasi yang mereka miliki, sehingga perusahaan dapat mengetahui bagaimana tanggapan konsumen terhadap apa yang telah mereka berikan.",3
"Sentiment analysis dilakukan dengan berfokus pada pengolahan opini yang mengandung polaritas, yaitu yang membagi sentiment menjadi beberapa kelompok ",3
"Pada coarse-grained sentiment analysis, proses klasifikasi dilakukan berdasarkan orientasi sebuah dokumen secara keseluruhan. ",3
"Orientasi ini dibagi menjadi 3 jenis: negatif, netral dan positif. Namun ada juga yang menjadikan orientasi ini menjadi kontinu atau dapat juga dikatakan bahwa orientasinya bersifat tidak diskrit.",3
"Banyak dari kalangan peneliti sekarang ini berfokus pada kategori jenis ini. Berbeda dengan metode coarse-grained sentiment analysis, metode ini menggunakan objek yang berupa sebuah kalimat, bukan sebuah dokumen secara keseluruhan.",3
Prepocessing merupakan proses untuk mempersiapkan dan membersikan data dari dataset utuk selanjutnya diklasifikasikan ,3
"Proses ini terdiri dari subproses Cleansing, Case Folding [8], Tokenizing, Filtering/ Stopword Removal serta Stemming [5].",3
"Proses cleansing ini dilakukan untuk membersihkan dokumen dari kata yang tidak diperlukan untuk mengurangi noise. Kata yang dihilangkan adalah  karakter HTML, kata kunci, emoticon, hashtag (#), username (@username), url (http://situs.com), dan email (nama@situs.com) [8].",3
Case Folding merupakan proses penyeragaman bentuk huruf serta penghapusan angka dan tanda baca. Dalam kasus ini yang akan dipakai hanyalah huruf latin dari a hingga z [8].,3
"Pada proses tokenizing dokumen yang masih berupa kalimat dipecah per kata menjadi beberapa bagian dan secara bersamaan hilangkan semua karakter maupun tanda baca yang ada pada kalimat tersebut, hasil dari proses inilah yang disebut token [5].",3
"Stopword Removal merupakan proses menghilangkan kata yang tidak mendeskripsikan sesuatu dalam bahasa Indonesia seperti “di”, ”ke”, “dari”, “yang”, “sedang”, “ini”, dan lain sebagainya.",3
"Di dalam text classification, kata seperti “tidak”, “bukan”, “tanpa” biasanya tidak termasuk kedalam kata yang 
akan dihilangkan. Dalam penerapannya kalimat yang mengandung teks tersebut perlu diubah atau disesuaikan pada proses preprocessing [7].
",3
"Proses Stemming merupakan proses penghilangan imbuhan yang masih melekat sehingga diperoleh sebuah kata dasar, contohnya: “membaca”, “dibaca”, “dibacakan” akan dikonversi menjadi kata dasar (stem) “baca”. Pada penelitian ini proses Stemming memiliki 5 aturan [7]",3
Proses pembobotan ini dilakukan untuk mendapatkan nilai dari kata (term) yang sudah berhasil diekstrak. Umumnya metode yang digunakan untuk melakukan tahap pembobotan ini adalah pembobotan TF-IDF.,3
"Metode TF-IDF ini merupakan metode pembobotan dalam bentuk sebuah metode pembobotan yang menghbungkan antara Term Frequency (TF) dengan Inverse Document Frequency (IDF),  yang mana dapat dirumuskan sebagai berikut ",3
"dimana tf (t , d) adalah kemunculan kata t pada dokumen d, N adalah jumlah dokumen yang ada pada kumpulan dokumen, dan df merupakan jumlah dokumen yang mengandung term t.",3
Metode ini berfungsi untuk mencari representasi nilai dari masing- masing dokumen dari sekumpulan data training (training set) dimana nantinya akan dibentuk suatu vektor antara dokumen dengan kata (document with term) yang kemudian untuk kesamaan antar dokumen dengan cluster akan ditentukan oleh sebuah prototype vector yang juga disebut juga dengan cluster centroid [3].,3
Algoritma K-Nearest Neighbor  (KNN) merupakan salah satu metode  yang digunakan dalam proses klasifikasi terhadap sebuah objek berdasarkan data pembelajaran yang memiliki jarak terdekat dengan objek tersebut ,3
"Algoritma ini menerapkan konsep “learning by analogy”, dimana data learning dideskripsikan dengan atribut numerik n-dimensi. Setiap data learning merepresentasikan sebuah titik, yang ditandai dengan c,  dalam ruang n-dimensi ",3
"Jika memasukan sebuah data query yang tidak diketahui labelnya, maka K-Nearest Neighbor (KNN) akan mencari k buah data learning yang memiliki jarak terdekat dengan query dalam ruang n-dimensi",3
Pengukuran jarak antara data learning dengan query dilakukan dengan mengukur jarak antar titik yang merepresentasikan data query dengan semua titik yang merepresentasikan data learning dengan rumus Euclidean Distance ,3
"Pada fase training, algoritma ini hanya melakukan peyimpanan vektor-vektor fitur dan klasifikasi data training sample. Saat fase klasifikasi, semua fitur yang sama dihitung untuk kemudian dilakukan testing data (belum diketahui klasifikasinya) ",3
"Jarak dari vektor baru yang terbentuk kemudian dihitung terhadap seluruh vektor training sample, dan sejumlah k buah yang terdekat diambil. Titik yang baru ini, klasifikasinya diprediksikan termasuk pada klasifikasi terbanyak dari titik-titik tersebut ",3
"Nilai k yang terbaik untuk algoritma ini tergantung pada data secara umumnya, nilai k yang tinggi akan mengurangi efek noise pada klasifikasi, namun membuat batasan antar setiap klasifikasi akan menjadi lebih kabur. Nilai k  yang bagus dapat dipilih dengan optimasi parameter, misalnya dengan menggunakan cross-validation",3
"Nilai k  yang bagus dapat dipilih dengan optimasi parameter, misalnya dengan menggunakan cross-validation. Kasus khusus dimana klasifikasi diprediksikan berdasarkan data pembelajaran yang paling dekat (dengan kata lain, k = 1) disebut algoritma nearest neighbor ",3
"Ketepatan algoritma KNN ini sangat dipengaruuhi oleh eksistensi fitur-fitur yang tidak relevan, atau jika bobot fitur tersebut tidak setara dengan relevansinya terhadap klasifikasi.",3
"Penelitian terhadap algoritma ini sebagian besar membahas bagaimana memilih dan memberi bobot terhadap fitur, agar performa klasifiaksi menjadi lebih baik ",3
K buah data learning akan melakukan voting untuk menentukan label mayoritas. Label data query akan ditentukan berdasarkan label mayoritas dan jika ada lebih dari satu label mayoritas makalabel data query dapat dipilih secara acak di antara label-label mayoritas yang ada ,3
"Evaluasi dari kemiripan sebuah dokumen dapat dilakukan berdasarkan recall, precision, dan F-measure",3
"Precision, adalah kemampuan untuk mengambil topranked dokumen terambil yang relevan,",3
"Recall, adalah sebagian dari dokumen relevan yang terambil.",3
Sedangkan F-measure merupakan hasil representasi keseluruhan sistem dan dimatematikakan dengan menggabungkan hasil dari recall dengan precision.,3
R merupkan bahasa pemrograman komputasi statisik dan grafik. Bahasa pemrograman ini merupakan implementasi dari bahasa pemrograman S yang dikembangkan oleh John Chambers di Bell Laboratories (AT&T) yang sekarang lebih dikenal sebagai Lucent Technologies.,3
"Naive  Bayes  merupakan  salah  satu  metode  yang  banyak digunakan  berdasarkan  beberapa  sifatnya  yang  sederhana, metode ini mengklasifikasikan data berdasarkan probabilitas P atribut  x  dari  setiap  kelas  y  data",3
"Naïve bayes (NB) untuk dijadikan sebagai solusi dari permasalahan yang ada. Naïve Bayes digunakan sebagai model dan menghasilkan tingkat akurasi sebesar 78,59%. Evaluasi dilakukan dengan membandingkan tingkat akurasi yang dihasilkan dengan model lain yaitu Support Vector Machine (SVM).",3
". Fitur utama dataset ini berupa String yang sangat cocok untuk membuat analisis mengenai kualitas dan layanan hotel menggunakan sentiment analysis. Dengan  melakukan analisis pada  dataset  Tripadvisors Hotel  Review  menggunakan metode sentiment analysis, diharapkan dapat menyimpulkan data positif atau negatif yang dominan pada suatu produk / jasa yang terdapat didalam dataset Tripadvisors Hotel Review ini. Tujuannya agar dapat mengetahui kelebihan dan kelemahan pada suatu produk / jasa agar dapat meningkatkan kualitas pelayanan nya.",3
"Natural  Language  Processing  dibutuhkan  untuk  proses  sentiment  analysis. Menurut Jalaj Thanaki, Natural Language Processing merupakan kemampuan teknologi, komputasi atau linguistik komputasi untuk memproses bahasa alami manusia ",3
"Dalam   melakukan   analisis   review   dengan   sentiment   analysis   dibutuhkan   proses   tokenization.   Tokenization membutuhkan Natural Language Processing. “Tokenization adalah sebuah kata yang dapat dipahami dan diproses oleh mesin, string teks apa pun tidak dapat diproses lebih lanjut tanpa melalui tokenisasi” [7]. Menuru t teori Sumit Raj, Tokenization merupakan salah satu konsep dari Natural Languange Procesing (NLP) yang sederhana di mana tokenization membagi teks menjadi segmen yang bermakna [8]. Dari teori tersebut dapat disimpulkan bahwa tokenization merupakan proses memecah potongan teks menjadi potongan-potongan kecil berupa list.",3
"Stopword merupakan kata-kata yang mungkin penting dalam komunikasi, tetapi saat melakukan sentiment analysis, stopword nilainya sangat kecil untuk mesin. “Stop Word Removal bertujuan untuk menghapus beberapa kata yang lebih sering digunakan dalam natural language processing tetapi nilai pentingnya dalam mengekstraksi makna sangat besar tetapi hanya sedikit dalam hal ketika kita mempertimbangkan arti keseluruhan dari kalimat.  Kata-kata seperti itu dinyatakan sebagai kata-kata berhenti dan dihapus” [9]. Oleh karena itu, kita perlu menghapus Stopword yang terdapat pada dataset tersebut",3
"Normalisasi merupakan metode untuk memproses string ke dalam natural language. Menurut Deepti Chopra, Nisheeth Joshi, Iti Mathur, untuk melakukan pemrosesan pada natural language, kita perlu melakukan normalisasi yang terutama melibatkan menghilangkan tanda baca, mengubah seluruh teks menjadi huruf kecil atau huruf besar, mengubah angka menjadi kata-kata, memperluas singkatan, kanonikalisasi teks dan sebagainya [10]. Terdapat beberapa karakter unicode dapat diwakili oleh lebih dari satu pengkodean unicode. Mereka akan terlihat sama, tetapi tidak akan membandingkan sama karena mereka memiliki urutan byte internal yang berbeda [11]. Dapat disimpulkan bahwa normalisasi dibutuhkan untuk melakukan sentiment analysis.",3
"Naive Bayes merupakan salah satu metode yang banyak digunakan berdasarkan beberapa sifatnya yang sederhana, metode ini mengklasifikasikan data berdasarkan probabilitas P atribut x dari setiap kelas y data [8]. Naive Bayes adalah metode yang digunakan dalam statistika untuk menghitung peluang dari suatu hipótesis, naive  bayes menghitung peluang suatu kelas berdasarkan pada atribut yang dimiliki dan menentukan kelas yang memiliki propabilitas paling tinggi. Naive Bayes mengklasifikasikan kelas berdasarkan pada probabilitas sederhana dengan mengasumsikan bahwa setiap atribut  dalam  data  tersebut  bersifat  saling  terpisah.",3
"Transform  cases:  Merupakan  proses  untuk  merubah bentuk kata-kata, pada proses ini karakter dijadikan menjadi huruf kecil atau lower case semua.",3
Tokenized: merupakan proses untuk memisah-misahkan kata. Hasil dari pemisahan tersebut dinamakan token.,3
"filter stopword: Proses menghilangkan kata-kata yang sering muncul namun tidak memiliki pengaruh apapun dalam ekstraksi klasifikasi teks. Pada proses ini kata yang termasuk adalah seperti penunjuk waktu, kata tanya dan kata sambung.",3
Stem:   Merupakan   proses   pengubahan   bentuk   kata menjadi kata dasar. Metode ini merupakan proses pengubahan bentuk kata menjadi kata dasar yang menyesuaikan dengan strukturb yang digunakan dalam proses stemming.,3
"Pada penelitian ini model yang disusulkan adalah Naïve Bayes sebagai algoritme pembelajaran. Untuk mendapatkan tingkat akurasi yang sesuai, proses validasi dilakukan dengan menggunakan K-Fold Cross Validation dengan harapan hasil validasi ekperiment dapat menghasilkan hasil yang terbaik. Model yang diusulkan kemudian di evaluasi dengan cara membandingkan hasil tingkat akurasi yang didapatkan dengan model yang lain yaitu Support Vector Machine (SVM).",3
"Cross-Industry Standard Process for Data Mining (CRISP-DM) yang dikembangkan pada tahun 1996 oleh analis dari beberapa industri seperti Daimler Chrysler, NCR, dan SPPSS, menyediakan proses standar dari data mining sebagai strategi pemecahan masalah secara umum dari bisnis maupun unit penelitian.",3
"Dalam CRISP-DM, sebuah proses data mining memiliki siklus hidup yang terdiri dari enam fase. Keseluruhan fase berurutan yang ada tersebut bersifat adaptif. Seperti terlihat pada gambar diatas, fase berikutnya dalam urutan bergantung pada keluaran dari fase sebelumnya. ",3
"Data yaitu Kumpulan Fakta yang terekam atau sebuah entitas yang tidak memiliki arti dan selama ini terabaikan.Mining yaitu proses Penambangan sehingga, Data Mining itu dapat diartikan sebagai proses penambangan data yang menghasilkan sebuah ouput (keluaran) berupa pengetahuan",3
Data mining adalah sebuah proses pencarian secara otomatis informasi yang berguna dalam tempat penyimpanan data berukuran besar. Teknik data mining digunakan untuk memeriksa basis data berukuran besar sebagai cara untuk menemukan pola yang baru dan berguna. Namun tidak semua pekerjaan pencarian informasi dapat dinyatakan sebagai data mining.,3
"Istilah lain yang sering dikaitkan dengan data mining diantaranya knowledge discovery (mining) in databases, knowledge extraction, data/pattern analysis, data archeology, data dredging, information harvesting, dan business intelligence. Data mining adalah bagian integral dari Knowledge Discovery in Databases (KDD). ",3
"Data mining merupakan proses pencarian pengetahuan yang menarik dari data berukuran besar yang disimpan dalam basis data, data warehouse atau tempat penyimpanan informasi lainnya. ",3
"Basis  data,  data  warehouse  atau  tempat  penyimpanan  informasi  lainnya.Komponen  ini  bertanggung  jawab  dalam  pengambilan  data  yang  relevan berdasarkan permintaan pengguna",3
"Basis pengetahuan. Komponen ini merupakan domain knowledge yang digunakan untuk memandu pencarian atau mengevaluasi pola-pola yang dihasilkan. Pengetahuan tersebut meliputi hierarki konsep yang digunakan untuk mengorganisasikan atribut atau nilai atribut ke dalam level abstraksi yang berbeda. Pengetahuan tersebut juga dapat berupa kepercayaan pengguna (user belief), yang dapat digunakan untuk menentukan kemenarikan pola yang diperoleh. Contoh lain dari domain knowledge adalah threshold dan metadata yang menjelaskan data dari berbagai sumber yang heterogen",3
"Data mining engine. Bagian ini merupakan komponen penting dalam arsitektur sistem data mining. Komponen ini terdiri modul-modul fungsional data mining seperti karakterisasi, asosiasi, klasifikasi, dan analisis klaster",3
Modul evaluasi pola. Komponen ini menggunakan ukuran-ukuran kemenarikan dan berinteraksi dengan modul data mining dalam pencarian pola-pola menarik. Modul evaluasi pola dapat menggunakan threshold kemenarikan untuk mem- filter pola-pola yang diperoleh.,3
"Antarmuka pengguna grafis. Modul ini berkomunikasi dengan pengguna dan sistem data mining. Melalui modul ini, pengguna berinteraksi dengan sistem untuk menentukan queri atau task data mining. Antarmuka juga menyediakan informasi untuk memfokuskan pencarian dan melakukan eksplorasi data mining berdasarkan hasil data mining antara. Komponen ini juga memungkinkan pengguna untuk mencari (browse) basis data dan skema data warehouse atau struktur data, evaluasi pola yang diperoleh dan visualisasi pola dalam berbagai bentuk.",3
Basis data relasional merupakan koleksi dari tabel. Setiap tabel berisi atribut (iield) dan biasanya menyimpan sejumlah besar tuple (record). Setiap tuple dalam tabel relasional merepesentasikan sebuah objek yang diidentifikasikan oleh kunci unik dan dideskripsikan oleh sekumpulan nilai atribut. Data relasional dapat diakses oleh queri basis data yang ditulis dalam bahasa queri relasional seperti SQL atau dengan bantuan antarmuka pengguna grafis.,3
"Data warehouse merupakan tempat penyimpanan informasi yang dikumpulkan dari berbagai sumber, disimpan dalam skema yang dipersatukan (unified schema) dan biasanya bertempat pada tempat penyimpanan tunggal. Data warehouse dikonstruksi melalui sebuah proses data cleaning, data transformation, data integration, data loading dan periodic data refreshing. Untuk memfasilitasi proses pembuatan keputusan, data dalam data warehouse diorganisasikan ke dalam subjek utama seperti customer, item, supplier atau aktivitas. Data disimpan untuk menyediakan informasi dari perspektif sejarah (seperti 5-10 tahun yang lalu) dan biasanya data tersebut diringkas (summarized). Sebagai contoh, daripada menyimpan data rinci dari transaksi penjualan, data warehouse dapat menyimpan ringkasan dari transaksi per tipe item untuk setiap toko atau diringkas dalam level yang lebih tinggi seperti daerah pemasaran.",3
"Data warehouse biasanya dimodelkan oleh struktur basis data multidimensional, dimana setiap dimensi berkaitan dengan sebuah atribut atau sekumpulan atribut dalam skema, dan setiap sel menyimpan nilai dari ukuran agregasi seperti count dan sales_amount. Struktur fisik dari data warehouse dapat berupa penyimpanan basis data relasional atau sebuah kubus data multidimensional",3
"Selain data warehouse, terdapat istilah penyimpanan data yang lain yaitu data mart. Sebuah data warehouse mengumpulkan informasi mengenai subjek-subjek yang menjangkau seluruh organisasi, dengan demikian cakupannya enterprise-wide. Sedangkan data mart merupakan sub bagian dari data warehouse. Fokus data mart adalah pada subjek yang dipilih dan dengan demikian cakupannya adalah department- wide.",3
"Secara umum, basis data transaksional terdiri dari sebuah file dimana setiap record merepresentasikan transaksi. Sebuah transaksi biasanya meliputi bilangan identitas transaksi yang unik (trans_id), dan sebuah daftar dari item yang membuat transaksi (seperti item yang dibeli dalam sebuah took). Basis data transaksi dapat memiliki tabel tambahan, yang mengandung informasi lain berkaitan dengan penjualan seperti tanggal transaksi, customer ID number, ID number dari sales person dan dari kantor cabang (branch) dimana penjualan terjadi",3
Data mining adalah sebuah proses pencarian secara otomatis informasi yang berguna dalam tempat penyimpanan data berukuran besar. Teknik data mining digunakan untuk memeriksa basis data berukuran besar sebagai cara untuk menemukan pola yang baru dan berguna.,3
Perkembangan yang cepat dalam teknologi pengumpulan dan penyimpanan data telah memudahkan manusia untuk mengumpulkan sejumlah data berukuran besar sehingga menghasilkan gunung data. Ekstraksi informasi yang berguna dari basis data tersebut menjadi pekerjaan yang cukup menantang. Seringkali alat dan teknik analisis data tradisional tidak dapat digunakan dalam mengekstrak informasi dari data berukuran besar. Data mining adalah teknologi yang merupakan campuran teknik-teknik analisis data dengan algoritma-algoritma untuk memproses data berukuran besar.,3
"Tahapan  proses  data  mining  sesuai  dengan  CRISP-DM  terdiri  dari:  Fase Pemahaman Data, Fase Persiapan Data, Fase Pemodelan, Fase Evaluasi, dan Fase Penyebaran.",3
"Komponen dalam sebuah arsitektur data mining terdiri dari basis data, basis pengetahuan, mesin data mining, modul evaluasi pola, dan antar muka grafis.",3
Data mining adalah sebuah proses pencarian secara otomatis informasi yang berguna dalam tempat penyimpanan data berukuran besar. ,3
Teknik data mining digunakan untuk memeriksa basis data berukuran besar sebagai cara untuk menemukan pola yang baru dan berguna.,3
"Secara khusus, data mining menggunakan ide-ide seperti (1) pengambilan   contoh,   estimasi,   dan   pengujian   hipotesis   dari  statistika   dan (2) algoritme pencarian, teknik pemodelan dan teori pembelajaran dari kecerdasan buatan, pengenalan pola, dan machine learning. ",3
"Data mining juga telah mengadopsi ide-ide dari area lain meliputi optimisasi, evolutionary computing, teori informasi, pemrosesan sinyal, visualisasi dan information retrieval.",3
"Komponen dalam sebuah arsitektur data mining terdiri dari basis data, basis pengetahuan, mesin data mining, modul evaluasi pola, dan antar muka grafis",3
"Tahapan proses data mining sesuai dengan CRISP-DM terdiri dari: Fase Pemahaman Data, Fase Persiapan Data, Fase Pemodelan, Fase Evaluasi, dan Fase Penyebaran.",3
"Teknik untuk melakukan estimasi terhadap sebuah data baru yang tidak memiliki keputusan berdasarkan histori data yang telah ada, dimanavariabel target estimasi lebih ke arah numerik daripada ke arah kategori.",3
Model dibangun menggunakan record lengkap yang menyediakan nilai dari variabel target sebagai nilai prediksi. ,3
"Selanjutnya, pada peninjauan berikutnya estimasi nilai dari variabel target dibuat berdasarkan nilai dari variabel prediksi. Contohnya melakukan estimasi tekanan darah sistolik pada pasien rumah sakit berdasarkan umur pasien, jenis kelamin, indeks berat badan, dan level sodium darah.",3
Suatu teknik dengan melihat pada kelakuan dan atribut dari kelompok yang telah didefinisikan. Teknik ini dapat memberikan klasifikasi pada data baru dengan memanipulasi data yang ada yang telah diklasifikasi dan dengan menggunakan hasilnya untuk memberikan sejumlah aturan. ,3
"Salah satu contoh yang mudah dan popular adalah dengan decision tree yaitu salah satu teknik klasifikasi yang paling populer karena mudah untuk interpretasi seperti Algoritma C4.5, ID3 dan lain-lain",3
Teknik untuk mengenali kelakuan dari kejadian-kejadian khusus atau proses dimana hubungan asosiasi muncul pada setiap kejadian. Adapun teknik pemecahan masalah yang sering digunakan seperti Algoritma Apriori.,3
Teknik untuk mengelompokkan data dan membentuk kelas objek-objek yang memiliki kemiripan. Klaster adalah kumpulan record yang memiliki kemiripan satu dengan yang lainnya dan memiliki ketidakmiripan dengan record-record dalam klaster lain.,3
"Proses klasterisasi berbeda dengan proses klasifikasi yaitu tidak adanya variabel target dalam pengklusteran. roses klasterisasi mencoba untuk melakukan pembagian terhadap keseluruhan data menjadi kelompok-kelompok yang memiliki kemiripan (homogen), dimana kemiripan data dalam satu kelompok tinggi (maksimal) dan kemiripan data dengan data pada kolompok lain rendah (minimal).",3
Supervised  Learning  yaitu  pembelajaran  menggunakan  guru  dan  biasanya ditandai dengan adanya class/label/target pada himpunan data. ,3
"Supervised lerning merupakan sebuah pendekatan dimana sudah terdapat data yang dilatih, dan terdapat variabel yang ditargetkan sehingga tujuan dari pendekatan ini adalah mengelompokan suatu data ke data yang sudah ada. Adapun teknik-teknik yang digunakan yang bersifat supervised learning seperti Teknik Prediksi dan Klasifikasi seperti Algoritma C4.5, Teknik Rough Set dan lain-lain.",3
"Unsupervised  Learning  yaitu  pembelajaran  tanpa  menggunakan  guru  dan biasanya ditandai pada him. Perbedaan dengan supervised learning, pada unsupervised learning tidak memiliki data latih, sehingga dari data yang ada dikelompokan menjadi 2 bagian atau 3 bagian dan seterusnya. Adapun teknik-teknik yang bersifat Unsupervised Learning yaitu Teknik Estimasi, Clustering, dan Asosiasi seperti Regresi Linier, Analytical Hierarchy Clustering dan lain-lain.punan datanya tidak memiliki atribut keputusan atau class/label/target.",3
Data mining memiliki potensi besar untuk memperbaiki sistem kesehatan. Menggunakan data dan analisis untuk mengidentifikasi praktik terbaik yang meningkatkan perawatan dan mengurangi biaya. ,3
"Peneliti menggunakan pendekatan data mining seperti database multi dimensi, pembelajaran mesin, soft computing, visualisasi data dan statistik. Penambangan dapat digunakan untuk memprediksi volume pasien dalam setiap kategori",3
"Proses dikembangkan untuk memastikan bahwa pasien mendapat perawatan yang tepat, di tempat yang tepat, dan pada saat yang tepat. Data mining juga dapat membantu perusahaan asuransi kesehatan untuk mendeteksi kecurangan dan penyalahgunaan.",3
"Peran data mining secara umum dapat dibagi ke dalam dua kategori utama, yaitu Prediktif dan Deskriptif. Tujuan dari tugas prediktif adalah untuk memprediksi nilai dari atribut tertentu berdasarkan pada nilai dari atribut-atribut lain. Tujuan dari tugas deskriptif adalah untuk menurunkan pola-pola (korelasi, trend, cluster, trayektori, dan anomali) yang meringkas hubungan yang pokok dalam data.",3
"Pemanfaatan data mining dapat dilakukan pada berbagai bidang, misalkan pada bidang pendidikan, kesehatan, perbankan, riset, rekayasa manufaktur, sampai dengan bioinformatika.",3
Kecerdasan Buatan (Artificial Intelligence) merupakan salah satu bagian dari ilmu komputer yang mempelajari bagaimana membuat mesin (komputer) dapat melakukan pekerjaan seperti dan sebaik yang dilakukan oleh manusia bahkan bisa lebih baik daripada yang dilakukan manusia. ,3
